Date,Start Time (EDT),Visitor
2024-04-05,1:05 PM,Toronto Blue Jays
2024-04-06,7:05 PM,Toronto Blue Jays
2024-04-07,1:35 PM,Toronto Blue Jays
2024-04-08,2:05 PM,Miami Marlins
2024-04-09,7:05 PM,Miami Marlins
2024-04-10,7:05 PM,Miami Marlins
2024-04-19,7:05 PM,Tampa Bay Rays
2024-04-20,1:05 PM,Tampa Bay Rays
2024-04-21,1:35 PM,Tampa Bay Rays
2024-04-22,1:05 PM,Oakland Athletics
2024-04-23,7:05 PM,Oakland Athletics
2024-04-24,7:05 PM,Oakland Athletics
2024-04-25,7:05 PM,Oakland Athletics
2024-05-03,7:05 PM,Detroit Tigers
2024-05-04,1:05 PM,Detroit Tigers
2024-05-05,1:35 PM,Detroit Tigers
2024-05-07,7:05 PM,Houston Astros
2024-05-08,7:05 PM,Houston Astros
2024-05-09,5:05 PM,Houston Astros
2024-05-17,7:05 PM,Chicago White Sox
2024-05-18,1:05 PM,Chicago White Sox
2024-05-19,1:35 PM,Chicago White Sox
2024-05-20,7:05 PM,Seattle Mariners
2024-05-21,7:05 PM,Seattle Mariners
2024-05-22,7:05 PM,Seattle Mariners
2024-05-23,12:35 PM,Seattle Mariners
2024-06-04,7:05 PM,Minnesota Twins
2024-06-05,7:05 PM,Minnesota Twins
2024-06-06,7:05 PM,Minnesota Twins
2024-06-07,7:05 PM,Los Angeles Dodgers
2024-06-08,7:35 PM,Los Angeles Dodgers
2024-06-09,7:10 PM,Los Angeles Dodgers
2024-06-18,7:05 PM,Baltimore Orioles
2024-06-19,7:05 PM,Baltimore Orioles
2024-06-20,4:05 PM,Baltimore Orioles
2024-06-21,7:05 PM,Atlanta Braves
2024-06-22,7:15 PM,Atlanta Braves
2024-06-23,1:35 PM,Atlanta Braves
2024-07-02,7:05 PM,Cincinnati Reds
2024-07-03,7:05 PM,Cincinnati Reds
2024-07-04,1:05 PM,Cincinnati Reds
2024-07-05,7:05 PM,Boston Red Sox
2024-07-06,1:05 PM,Boston Red Sox
2024-07-07,1:35 PM,Boston Red Sox
2024-07-19,7:05 PM,Tampa Bay Rays
2024-07-20,1:05 PM,Tampa Bay Rays
2024-07-21,1:35 PM,Tampa Bay Rays
2024-07-22,1:05 PM,Tampa Bay Rays
2024-07-23,7:05 PM,New York Mets
2024-07-24,7:05 PM,New York Mets
2024-08-02,7:05 PM,Toronto Blue Jays
2024-08-03,1:05 PM,Toronto Blue Jays
2024-08-04,1:35 PM,Toronto Blue Jays
2024-08-06,7:05 PM,Los Angeles Angels
2024-08-07,7:05 PM,Los Angeles Angels
2024-08-08,7:05 PM,Los Angeles Angels
2024-08-09,7:05 PM,Texas Rangers
2024-08-10,1:05 PM,Texas Rangers
2024-08-11,1:35 PM,Texas Rangers
2024-08-20,7:05 PM,Cleveland Guardians
2024-08-21,7:05 PM,Cleveland Guardians
2024-08-22,1:05 PM,Cleveland Guardians
2024-08-23,7:05 PM,Colorado Rockies
2024-08-24,2:05 PM,Colorado Rockies
2024-08-25,1:35 PM,Colorado Rockies
2024-08-30,7:05 PM,St. Louis Cardinals
2024-08-31,1:05 PM,St. Louis Cardinals
2024-09-01,1:35 PM,St. Louis Cardinals
2024-09-09,7:05 PM,Kansas City Royals
2024-09-10,7:05 PM,Kansas City Royals
2024-09-11,7:05 PM,Kansas City Royals
2024-09-12,7:05 PM,Boston Red Sox
2024-09-13,7:05 PM,Boston Red Sox
2024-09-14,1:05 PM,Boston Red Sox
2024-09-15,1:35 PM,Boston Red Sox
2024-09-24,7:05 PM,Baltimore Orioles
2024-09-25,7:05 PM,Baltimore Orioles
2024-09-26,7:05 PM,Baltimore Orioles
2024-09-27,7:05 PM,Pittsburgh Pirates
2024-09-28,1:05 PM,Pittsburgh Pirates
2024-09-29,3:05 PM,Pittsburgh Pirates
